1.15.0.52124
i(202256),	-- Privateer's Ornate Pistol
i(236708),	-- Breastplate of Undead Slaying
i(236709),	-- Chestguard of Undead Slaying
i(236710),	-- Wristguards of Undead Slaying
i(236711),	-- Wristwraps of Undead Slaying
i(236712),	-- Bracers of Undead Slaying
i(236713),	-- Handwraps of Undead Slaying
i(236714),	-- Gauntlets of Undead Slaying
i(236715),	-- Handguards of Undead Slaying
i(236716),	-- Bracers of Undead Cleansing
i(236717),	-- Gloves of Undead Cleansing
i(236718),	-- Robe of Undead Cleansing
i(236719),	-- Bracers of Undead Purification
i(236720),	-- Gloves of Undead Purification
i(236721),	-- Robe of Undead Purification
i(236722),	-- Bracers of Undead Warding
i(236723),	-- Gloves of Undead Warding
i(236724),	-- Robe of Undead Warding
i(236725),	-- Wristwraps of Undead Cleansing
i(236726),	-- Handwraps of Undead Cleansing
i(236727),	-- Tunic of Undead Cleansing
i(236728),	-- Wristwraps of Undead Purification
i(236729),	-- Handwraps of Undead Purification
i(236730),	-- Tunic of Undead Purification
i(236731),	-- Wristwraps of Undead Warding
i(236732),	-- Handwraps of Undead Warding
i(236733),	-- Tunic of Undead Warding
i(236734),	-- Wristguards of Undead Cleansing
i(236735),	-- Handguards of Undead Cleansing
i(236736),	-- Chestguard of Undead Cleansing
i(236737),	-- Wristguards of Undead Warding
i(236738),	-- Handguards of Undead Warding
i(236739),	-- Chestguard of Undead Warding
i(236740),	-- Wristguards of Undead Purification
i(236741),	-- Handguards of Undead Purification
i(236742),	-- Chestguard of Undead Purification
i(236743),	-- Bracers of Undead Purification
i(236744),	-- Gauntlets of Undead Purification
i(236745),	-- Breastplate of Undead Purification
i(236746),	-- Bracers of Undead Warding
i(236747),	-- Gauntlets of Undead Warding
i(236748),	-- Breastplate of Undead Warding
i(236750),	-- Heart of Doom
i(236786),	-- Heart of Doom
i(236871),	-- Creepy Censor Sensors
i(236872),	-- Schematic: Creepy Censor Sensors
1.15.6.58658
i(237011),	-- Portcullis Key
i(237041),	-- Tome of Enchanted Flare
i(237143),	-- Orders from the Commander \\ Orders from the High General
i(237261),	-- Fine Sand
i(237263),	-- Supply Bag
i(237275),	-- Icebane Helmet
i(237277),	-- Frosty Leggings
i(237278),	-- The Purifier
i(237279),	-- Amulet of the Dawn
i(237280),	-- Medallion of the Dawn
i(237281),	-- Bracers of Hope
i(237282),	-- Bracers of Subterfuge
i(237283),	-- Talisman of Ascendance
i(237284),	-- Supply Bag
i(237285),	-- Band of Resolution
i(237286),	-- Band of Piety
i(237287),	-- Verimonde's Last Resort
i(237288),	-- Sanctified Leather Helm
i(237289),	-- Leggings of the Plague Hunter
i(237290),	-- Icebane Leggings
i(237291),	-- Glacial Leggings
i(237292),	-- Polar Leggings
i(237293),	-- Icy Scale Leggings
i(237294),	-- Ramaladni's Icy Grasp
i(237302),	-- Tabard of the Scarlet Enclave
i(237348),	-- Monster - Sword, Short Ornate
i(237381),	-- Desecrated Ring
i(237386),	-- Wartorn Undermine Supply Crate
i(237504),	-- Supply Shipment
i(237512),	-- Blade of Inquisition
i(237577),	-- Totem of Unholy Might
1.15.6.58725
i(237773),	-- Word of Thawing
i(237810),	-- Weighted Consecrated Sharpening Stone
i(237814),	-- Sentinel's Lamellar Legguards
i(237815),	-- Sentinel's Silk Leggings
i(237817),	-- Sentinel's Lizardhide Pants
i(237818),	-- Sentinel's Leather Pants
i(237819),	-- Sentinel's Chain Leggings
i(237820),	-- Outrider's Silk Leggings
i(237821),	-- Outrider's Lizardhide Pants
i(237822),	-- Outrider's Leather Pants
i(237823),	-- Outrider's Mail Leggings
i(237824),	-- Outrider's Chain Leggings
i(237825),	-- Sentinel's Plate Legguards
i(237826),	-- Outrider's Plate Legguards
1.15.6.58866
i(236002),	-- List of Components
i(236878),	-- Mysterious Relic
i(236879),	-- Mysterious Relic
i(236880),	-- Mysterious Relic
i(237024),	-- Opera Ticket
i(238234),	-- Blessed Wizard Oil
i(238241),	-- Consecrated Sharpening Stone
i(238348),	-- The Axe of Severing
i(238349),	-- Abomination Skin Leggings
i(238350),	-- Scorn's Focal Dagger
i(238351),	-- The Frozen Clutch
i(238352),	-- Scorn's Icy Choker
i(238353),	-- Mantle of Lady Falther'ess
i(238354),	-- Lady Falther'ess' Finger
i(238355),	-- Chains of the Lich
i(238356),	-- Waistband of Balzaphon
i(238357),	-- Staff of Balzaphon
i(238358),	-- Blackwood's Thigh
i(238360),	-- Lord Blackwood's Buckler
i(238361),	-- Lord Blackwood's Blade
i(238362),	-- Bracers of Mending
i(238363),	-- The Shadow's Grasp
i(238364),	-- Cloak of Revanchion
1.15.6.59415
i(236864),	-- Soulfrost Quiver
i(236869),	-- Soulfrost Ammo Pouch
1.15.7.59706
i(190325),	-- Monster - Incubus Whip Mace1H
i(237020),	-- Scarlet Insignia
i(237023),	-- Pop-Up Shrub
i(237037),	-- Haute Club Membership Card
i(237163),	-- Ancient Hero's Skull
i(238264),	-- Scarlet Augur's Hood
i(238265),	-- Scarlet Augur's Mantle
i(238266),	-- Scarlet Augur's Vestaments
i(238267),	-- Scarlet Augur's Cuffs
i(238268),	-- Scarlet Augur's Mitts
i(238269),	-- Scarlet Augur's Strap
i(238270),	-- Scarlet Augur's Leggings
i(238271),	-- Scarlet Augur's Soles
i(238272),	-- Scarlet Infiltrator's Bandana
i(238273),	-- Scarlet Infiltrator's Shoulderpads
i(238274),	-- Scarlet Infiltrator's Vest
i(238275),	-- Scarlet Infiltrator's Bracers
i(238276),	-- Scarlet Infiltrator's Gloves
i(238277),	-- Scarlet Infiltrator's Belt
i(238278),	-- Scarlet Infiltrator's Trousers
i(238279),	-- Scarlet Infiltrator's Shoes
i(238280),	-- Scarlet Huntsman's Coif
i(238281),	-- Scarlet Huntsman's Pauldrons
i(238282),	-- Scarlet Huntsman's Chain
i(238283),	-- Scarlet Huntsman's Wristguards
i(238284),	-- Scarlet Huntsman's Handguards
i(238285),	-- Scarlet Huntsman's Clasp
i(238286),	-- Scarlet Huntsman's Legguards
i(238287),	-- Scarlet Huntsman's Boots
i(238288),	-- Scarlet Soldier's Helmet
i(238289),	-- Scarlet Soldier's Spaulders
i(238290),	-- Scarlet Soldier's Chestplate
i(238291),	-- Scarlet Soldier's Protectors
i(238292),	-- Scarlet Soldier's Grips
i(238293),	-- Scarlet Soldier's Waistguard
i(238294),	-- Scarlet Soldier's Legplates
i(238295),	-- Scarlet Soldier's Stompers
i(238298),	-- Pattern: Scarlet Augur's Hood
i(238299),	-- Pattern: Scarlet Augur's Mantle
i(238300),	-- Pattern: Scarlet Augur's Vestaments
i(238301),	-- Pattern: Scarlet Augur's Cuffs
i(238302),	-- Pattern: Scarlet Augur's Mitts
i(238303),	-- Pattern: Scarlet Augur's Strap
i(238304),	-- Pattern: Scarlet Augur's Leggings
i(238305),	-- Pattern: Scarlet Augur's Soles
i(238306),	-- Pattern: Scarlet Infiltrator's Bandana
i(238307),	-- Pattern: Scarlet Infiltrator's Shoulderpads
i(238308),	-- Pattern: Scarlet Infiltrator's Vest
i(238309),	-- Pattern: Scarlet Infiltrator's Bracers
i(238310),	-- Pattern: Scarlet Infiltrator's Gloves
i(238311),	-- Pattern: Scarlet Infiltrator's Belt
i(238312),	-- Pattern: Scarlet Infiltrator's Trousers
i(238313),	-- Pattern: Scarlet Infiltrator's Shoes
i(238314),	-- Pattern: Scarlet Huntsman's Coif
i(238315),	-- Pattern: Scarlet Huntsman's Pauldrons
i(238316),	-- Pattern: Scarlet Huntsman's Chain
i(238317),	-- Pattern: Scarlet Huntsman's Wristguards
i(238318),	-- Pattern: Scarlet Huntsman's Handguards
i(238319),	-- Pattern: Scarlet Huntsman's Clasp
i(238320),	-- Pattern: Scarlet Huntsman's Legguards
i(238321),	-- Pattern: Scarlet Huntsman's Boots
i(238322),	-- Plans: Scarlet Soldier's Helmet
i(238323),	-- Plans: Scarlet Soldier's Spaulders
i(238324),	-- Plans: Scarlet Soldier's Chestplate
i(238325),	-- Plans: Scarlet Soldier's Protectors
i(238326),	-- Plans: Scarlet Soldier's Grips
i(238327),	-- Plans: Scarlet Soldier's Waistguard
i(238328),	-- Plans: Scarlet Soldier's Legplates
i(238329),	-- Plans: Scarlet Soldier's Stompers
i(238637),	-- Prowler Steak
i(238638),	-- Filet o' Flank
i(238639),	-- Sunrise Omelette
i(238641),	-- Specklefin Feast
i(238642),	-- Grand Lobster Banquet
i(238645),	-- Recipe: Prowler Steak
i(238646),	-- Recipe: Filet o' Flank
i(238647),	-- Recipe: Sunrise Omelette
i(238649),	-- Recipe: Specklefin Feast
i(238650),	-- Recipe: Grand Lobster Banquet
i(238687),	-- Maul of Onslaught
i(238734),	-- Tinkerbox: Teleport
i(238735),	-- Tinkerbox: Nitro Boosts
i(238736),	-- Tinkerbox: Magnetic Displacement
i(238737),	-- Tinkerbox
i(238781),	-- Semisafe Transporter: New Avalon
i(238782),	-- Schematic: Tinkerbox
i(238783),	-- Schematic: Tinkerbox: Teleport
i(238784),	-- Schematic: Tinkerbox: Nitro Boosts
i(238785),	-- Schematic: Tinkerbox: Magnetic Displacement
i(238786),	-- Schematic: Tinker: Teleport
i(238787),	-- Schematic: Tinker: Nitro Boosts
i(238788),	-- Schematic: Tinker: Magnetic Displacement
i(238789),	-- Schematic: Semisafe Transporter: New Avalon
i(238794),	-- Unappetizing Leftovers
i(238811),	-- Juicy Apple
i(238830),	-- Apple Scope
i(238831),	-- Apple Rope
i(238899),	-- Assorted Fish
i(238925),	-- Scarlet Quiver
i(238926),	-- Scarlet Ammo Pouch
i(238927),	-- Pattern: Scarlet Quiver
i(238928),	-- Pattern: Scarlet Ammo Pouch
i(238935),	-- Gently Plagued Meat
i(238945),	-- Caladboulder
i(238960),	-- Quartermaster's Crate
i(238961),	-- Caladbolg
i(238985),	-- Heavy Crate
i(239010),	-- Hilt of the Ashbringer
i(239011),	-- Shard of Crystallized Light
i(239012),	-- Splinter of Crystallized Light
i(239013),	-- Crystalline Axe
i(239016),	-- Holy Salts
i(239017),	-- Exquisite Spices
i(239021),	-- Carrie's Cookbook
i(239060),	-- Will of the Mountain
i(239061),	-- Flawless Obsidian Hammer
i(239092),	-- Preposterously Prosed Postage
i(239097),	-- Key to the Cathedral
i(239117),	-- Crusader's Chalice
i(239119),	-- Holy Arrow
i(239123),	-- Monster - BOW_1H_STANDARD_C_01 - Red
i(239147),	-- Crusader's Knapsack
i(239148),	-- Crimson Dawnwoven Bag
i(239149),	-- Pattern: Crusader's Knapsack
i(239150),	-- Pattern: Crimson Dawnwoven Bag
i(239159),	-- S03 - Scarlet Enclave - Captains Shield
i(239196),	-- Ruined Lightforged Blade
i(239197),	-- Reforged Blade of the Ashbringer
i(239215),	-- Charred Emblem \\ Corrupted Emblem
i(239216),	-- Lightforged Iron
i(239218),	-- Stoneshaper's Notes
i(239219),	-- Emblem of the Ashbringer
i(239221),	-- Monster - Sword1H, Basic
i(239222),	-- Schematic: Pop-Up Shrub
i(239223),	-- House Prop
i(239225),	-- Classy Quill
i(239246),	-- Fizzlefuse's Shopping List
i(239248),	-- Scarlet Junkbox
i(239292),	-- Forgewright's Notes
i(239301),	-- Corrupted Ashbringer
i(239302),	-- Scarlet Uniform Belt
i(239316),	-- Triangulation Samophlange
i(239512),	-- Lightbreaker Wrists
i(239513),	-- Lightbreaker Belt
i(239514),	-- Lightbreaker Grips
i(239515),	-- Lightbreaker Greaves
i(239516),	-- Lightbreaker Shoulders
i(239517),	-- Lightbreaker Greathelm
i(239518),	-- Lightbreaker Tassets
i(239519),	-- Lightbreaker Cuirass
i(239520),	-- Lightbreaker Bracers
i(239521),	-- Lightbreaker Waistguard
i(239522),	-- Lightbreaker Gauntlets
i(239523),	-- Lightbreaker Sabatons
i(239524),	-- Lightbreaker Pauldrons
i(239525),	-- Lightbreaker Helmet
i(239526),	-- Lightbreaker Legplates
i(239527),	-- Lightbreaker Breastplate
i(239529),	-- Dawnstalker Breastplate
i(239530),	-- Dawnstalker Greaves
i(239531),	-- Dawnstalker Gauntlets
i(239532),	-- Dawnstalker Visor
i(239533),	-- Dawnstalker Leggings
i(239534),	-- Dawnstalker Pauldrons
i(239535),	-- Dawnstalker Belt
i(239536),	-- Dawnstalker Vambraces
i(239537),	-- Dawnstalker Boots
i(239538),	-- Dawnstalker Girdle
i(239539),	-- Dawnstalker Handguards
i(239540),	-- Dawnstalker Headpiece
i(239541),	-- Dawnstalker Legguards
i(239542),	-- Dawnstalker Spaulders
i(239543),	-- Dawnstalker Tunic
i(239544),	-- Dawnstalker Wristguards
i(239547),	-- Duskwraith Wristguards
i(239548),	-- Duskwraith Chestguard
i(239549),	-- Duskwraith Grips
i(239550),	-- Duskwraith Mask
i(239551),	-- Duskwraith Leggings
i(239552),	-- Duskwraith Mantle
i(239553),	-- Duskwraith Treads
i(239554),	-- Duskwraith Belt
i(239555),	-- Duskwraith Bracers
i(239556),	-- Duskwraith Waistguard
i(239557),	-- Duskwraith Gauntlets
i(239558),	-- Duskwraith Sabatons
i(239559),	-- Duskwraith Pauldrons
i(239560),	-- Duskwraith Helmet
i(239561),	-- Duskwraith Legplates
i(239562),	-- Duskwraith Breastplate
i(239565),	-- Garb of Revelation
i(239572),	-- Boots of Revelation
i(239574),	-- Hands of Revelation
i(239575),	-- Crown of Revelation
i(239577),	-- Pants of Revelation
i(239581),	-- Mantle of Revelation
i(239582),	-- Girdle of Revelation
i(239583),	-- Wrists of Revelation
i(239584),	-- Gloves of Revelation
i(239585),	-- Circlet of Revelation
i(239586),	-- Shoulderpads of Revelation
i(239587),	-- Leggings of Revelation
i(239588),	-- Bindings of Revelation
i(239589),	-- Sandals of Revelation
i(239590),	-- Belt of Revelation
i(239591),	-- Robe of Revelation
i(239618),	-- Monster - Sword 1H - Vanquisher's Sword (Alt)
i(239688),	-- Monster - Spear 2H - Scarlet Cavalry - Spear
i(239694),	-- Covenant of Light
i(239695),	-- Scarlet Steed
i(239696),	-- Hilt of the Ashbringer
i(239698),	-- Dawnwoven Fabric
i(239706),	-- Consecrated Sabatons
i(239707),	-- Consecrated Helmet
i(239708),	-- Consecrated Pauldrons
i(239709),	-- Consecrated Legplates
i(239710),	-- Consecrated Sandals
i(239712),	-- Consecrated Shoulderpads
i(239714),	-- Consecrated Circlet
i(239715),	-- Consecrated Robe
i(239716),	-- Consecrated Gloves
i(239718),	-- Consecrated Belt
i(239719),	-- Consecrated Bindings
i(239721),	-- Consecrated Leggings
i(239722),	-- Consecrated Wristguards
i(239726),	-- Consecrated Boots
i(239729),	-- Consecrated Headpiece
i(239730),	-- Consecrated Handguards
i(239731),	-- Consecrated Tunic
i(239756),	-- Consecrated Girdle
i(239757),	-- Consecrated Legguards
i(239758),	-- Consecrated Spaulders
i(239759),	-- Consecrated Bracers
i(239760),	-- Consecrated Waistguard
i(239761),	-- Consecrated Breastplate
i(239762),	-- Consecrated Gauntlets
i(239764),	-- Crimson Bladeleaf
i(240018),	-- Fizzlefuse's Tinker Manual
i(240020),	-- Inquisition Legguards
i(240021),	-- Inquisition Spaulders
i(240022),	-- Inquisition Boots
i(240023),	-- Inquisition Vambraces
i(240024),	-- Inquisition Belt
i(240025),	-- Inquisition Shoulderplates
i(240026),	-- Inquisition Leggings
i(240027),	-- Inquisition Helmet
i(240028),	-- Inquisition Gloves
i(240029),	-- Inquisition Greaves
i(240030),	-- Inquisition Breastplate
i(240031),	-- Inquisition Bracers
i(240032),	-- Inquisition Waistguard
i(240033),	-- Inquisition Pauldrons
i(240034),	-- Inquisition Legplates
i(240035),	-- Inquisition Crown
i(240036),	-- Inquisition Gauntlets
i(240037),	-- Inquisition Sabatons
i(240038),	-- Inquisition Chestguard
i(240039),	-- Inquisition Tunic
i(240040),	-- Inquisition Headpiece
i(240041),	-- Inquisition Handguards
i(240042),	-- Inquisition Wristguards
i(240043),	-- Inquisition Girdle
i(240044),	-- Fireleaf Wristwraps
i(240045),	-- Fireleaf Waistguard
i(240046),	-- Fireleaf Mantle
i(240047),	-- Fireleaf Pants
i(240048),	-- Fireleaf Hood
i(240049),	-- Fireleaf Mitts
i(240050),	-- Fireleaf Boots
i(240051),	-- Fireleaf Garb
i(240052),	-- Fireleaf Bindings
i(240053),	-- Fireleaf Belt
i(240054),	-- Fireleaf Shoulderpads
i(240055),	-- Fireleaf Leggings
i(240056),	-- Fireleaf Circlet
i(240057),	-- Fireleaf Gloves
i(240058),	-- Fireleaf Sandals
i(240059),	-- Fireleaf Robe
i(240060),	-- Waywatcher Wraps
i(240061),	-- Waywatcher Sash
i(240062),	-- Waywatcher Shoulderpads
i(240063),	-- Waywatcher Trousers
i(240064),	-- Waywatcher Cowl
i(240065),	-- Waywatcher Grips
i(240066),	-- Waywatcher Stompers
i(240067),	-- Waywatcher Vest
i(240068),	-- Waywatcher Bindings
i(240069),	-- Waywatcher Cord
i(240070),	-- Waywatcher Mantle
i(240071),	-- Waywatcher Kilt
i(240072),	-- Waywatcher Hood
i(240073),	-- Waywatcher Mitts
i(240074),	-- Waywatcher Sandals
i(240075),	-- Waywatcher Leathers
i(240076),	-- Waywatcher Bracers
i(240077),	-- Waywatcher Waistguard
i(240078),	-- Waywatcher Pauldrons
i(240079),	-- Waywatcher Leggings
i(240080),	-- Waywatcher Headdress
i(240081),	-- Waywatcher Gauntlets
i(240082),	-- Waywatcher Sabatons
i(240083),	-- Waywatcher Armor
i(240084),	-- Waywatcher Wristguards
i(240085),	-- Waywatcher Girdle
i(240086),	-- Waywatcher Spaulders
i(240087),	-- Waywatcher Legguards
i(240088),	-- Waywatcher Headpiece
i(240089),	-- Waywatcher Handguards
i(240090),	-- Waywatcher Boots
i(240091),	-- Waywatcher Tunic
i(240092),	-- Soulcrusher Tunic
i(240093),	-- Soulcrusher Boots
i(240095),	-- Soulcrusher Handguards
i(240096),	-- Soulcrusher Headpiece
i(240097),	-- Soulcrusher Legguards
i(240098),	-- Soulcrusher Spaulders
i(240099),	-- Soulcrusher Girdle
i(240100),	-- Soulcrusher Wristguards
i(240101),	-- Soulcrusher Chestguard
i(240102),	-- Soulcrusher Sabatons
i(240103),	-- Soulcrusher Gloves
i(240104),	-- Soulcrusher Faceguard
i(240105),	-- Soulcrusher Legplates
i(240106),	-- Soulcrusher Pauldrons
i(240107),	-- Soulcrusher Waistguard
i(240108),	-- Soulcrusher Bracers
i(240109),	-- Soulcrusher Embrace
i(240110),	-- Soulcrusher Greaves
i(240122),	-- Soulcrusher Mitts
i(240123),	-- Soulcrusher Crown
i(240124),	-- Soulcrusher Kilt
i(240125),	-- Soulcrusher Mantle
i(240126),	-- Soulcrusher Cord
i(240127),	-- Soulcrusher Bindings
i(240128),	-- Soulcrusher Armor
i(240129),	-- Soulcrusher Treads
i(240130),	-- Soulcrusher Grips
i(240131),	-- Soulcrusher Helmet
i(240132),	-- Test Staff
i(240134),	-- Soulcrusher Leggings
i(240135),	-- Soulcrusher Epaulets
i(240136),	-- Soulcrusher Belt
i(240137),	-- Soulcrusher Vambraces
i(240138),	-- Heretic Robe
i(240139),	-- Heretic Sandals
i(240140),	-- Heretic Gloves
i(240141),	-- Heretic Cowl
i(240142),	-- Heretic Leggings
i(240143),	-- Heretic Shoulderpads
i(240144),	-- Heretic Belt
i(240145),	-- Heretic Bindings
i(240146),	-- Heretic Garb
i(240147),	-- Heretic Handguards
i(240148),	-- Heretic Hood
i(240149),	-- Heretic Pants
i(240150),	-- Heretic Mantle
i(240151),	-- Heretic Waistguard
i(240152),	-- Heretic Wristguards
i(240153),	-- Heretic Boots
i(240174),	-- Solistra, Fang of the First Light
i(240195),	-- Invisible Sword
i(240217),	-- Monster Item - Stave_2H_Jeweled_A_02 - Red
i(240742),	-- Monster - 1H, Shortsword, Red
i(240832),	-- Nivifacient Gland
i(240835),	-- Crate of Moonglade Supplies
i(240836),	-- Thisalee's Whistle
i(240837),	-- Strings of Fate
i(240839),	-- Thal'kituun, the Unseen Guest
i(240841),	-- High Commander's Guard
i(240842),	-- Scarlet Rotbringer
i(240843),	-- Starter's Pistol
i(240844),	-- Putress' Poker
i(240845),	-- Prototype Magnet
i(240846),	-- Magnetic Scrap
i(240848),	-- Nordrassil Detritus
i(240849),	-- Staff of the Glade
i(240850),	-- Lightfist Hammer
i(240851),	-- Regicide
i(240852),	-- Crimson Cleaver
i(240853),	-- Queensfall
i(240854),	-- Mercy
i(240919),	-- Ravagane
i(240920),	-- Leogan
i(240921),	-- Scarlet Smashbringer
i(240922),	-- Deception
i(240923),	-- Duplicity
i(240924),	-- Poleaxe of the Beast
i(240925),	-- Experiment-800M
i(240936),	-- Inert Ashbringer
i(240945),	-- Slice of Carrie's Apple Pie
i(240994),	-- Tim's Test Ranged Weapon 2
i(240997),	-- Fratley's Spur
i(240998),	-- Soporific Blade
i(241001),	-- Tyr's Fall
i(241002),	-- Remnants of the Red
i(241003),	-- Mirage, Rod of Illusion
i(241004),	-- Conundrum
i(241006),	-- Spire of Sacrifice
i(241008),	-- Condemnation
i(241011),	-- Greatstaff of Fealty
i(241012),	-- Wand of Reanimation
i(241015),	-- Aegis of the Scarlet Bastion
i(241017),	-- Demon's Folly
i(241018),	-- Nathrezim Heart
i(241020),	-- Putress' Completed Diary
i(241021),	-- The Light
i(241022),	-- Dawnbringer's Cloak
i(241023),	-- Drape of the Dastardly
i(241024),	-- Scarlet Commander's Cape
i(241025),	-- Flag of the Broken Admiral
i(241026),	-- Cardinal's Shawl
i(241027),	-- Shield Warden's Guard
i(241028),	-- Nathrezim Loop
i(241029),	-- Baelin's Band
i(241030),	-- Mason's Fraternity Ring
i(241031),	-- Barthalomew's Promise
i(241032),	-- Ring of Resurrection
i(241034),	-- Heart of Light
i(241037),	-- Abandoned Experiment
i(241038),	-- Sir Dornel's Didgeridoo
i(241039),	-- Infusion of Souls
i(241068),	-- Stiltz's Standard
i(241069),	-- Choke Chain
i(241070),	-- Hope of Herod
i(241071),	-- Talisman of the Scarlet Scoundrel
i(241072),	-- Vial of Pus
i(241073),	-- Touch of Light
i(241074),	-- Helm of the Red Crusade
i(241075),	-- Raging Destroyer's Helm
i(241076),	-- Cowl of the Covenant
i(241077),	-- Cardinal's Chapeau
i(241078),	-- Shroud of the Embalmed
i(241079),	-- Weight of the World
i(241080),	-- Herod's Pauldron
i(241081),	-- Corrupted Ashbringer
i(241082),	-- Ashbringer
i(241083),	-- S03 - Scarlet Enclave - Sword 2h Raid
i(241084),	-- S03 - Scarlet Enclave - Herod's Sword - Normal
i(241085),	-- S03 - Scarlet Enclave - Sword 1h
i(241086),	-- Scarlet Tower Shield
i(241087),	-- Scarlet Staff
i(241088),	-- Scarlet Staff
i(241089),	-- Scarlet Dagger
i(241090),	-- Scarlet Great Axe
i(241091),	-- Scarlet Mace
i(241092),	-- Scarlet Edge
i(241120),	-- S03 - Scarlet Enclave - Herod's Sword - Molten
i(241121),	-- Reborn Dagger
i(241122),	-- Reborn Knife
i(241123),	-- Reborn Dagger
i(241124),	-- Reborn Knife
i(241128),	-- Pile of Portiporters
i(241152),	-- Dawnwrought Shoulders
i(241153),	-- Doan's Mantle
i(241154),	-- Bearskin Mantle
i(241156),	-- Blighted Robes
i(241157),	-- Scarlet Chestplate
i(241158),	-- Chains of the Abandoned
i(241159),	-- Monastery Garb
i(241160),	-- Dawnworn Chainmail
i(241161),	-- Templar Breastplate
i(241162),	-- Sunblessed Leathers
i(241163),	-- Sunblaze Bracers
i(241164),	-- Scrapped Argent Leathers
i(241165),	-- Penitent Wraps
i(241166),	-- Dawnstripped Bands
i(241167),	-- Prisoner Shackles
i(241168),	-- Sunblaze Grips
i(241169),	-- Prototype Nitro Boosts
i(241170),	-- Enclave Protectors
i(241171),	-- Gloves of Departed Souls
i(241172),	-- Caldoran's Locked Gauntlets
i(241173),	-- High Wizard Wrap
i(241174),	-- Girdle of the Reborn Champion
i(241175),	-- Torturer's Toolbelt
i(241176),	-- Diesalven's Demise
i(241177),	-- Kilt of the Scarlet Arcanist
i(241178),	-- Stalwart Pain Plate
i(241179),	-- Leggings of Catastrophe
i(241180),	-- Lightscale Leggings
i(241181),	-- Dawnworn Chain Leggings
i(241182),	-- Templar Plate Legguards
i(241183),	-- Ashwalkers
i(241184),	-- Savior Sandals
i(241185),	-- Bear Training Boots
i(241186),	-- Polished Scarlet Mail Boots
i(241187),	-- Crimson Wartreads
i(241190),	-- Bird Whistle
i(241191),	-- Formula: Enchant Weapon - Grand Crusader
i(241195),	-- Formula: Enchant 2H Weapon - Grand Arcanist
i(241201),	-- Formula: Enchant Weapon - Grand Sorcerer
i(241212),	-- Cluck Cannon
i(241233),	-- [DNT] Super Strong Lockbox
i(241241),	-- Lucky Doubloon
i(241613),	-- No Longer Used
i(241629),	-- Scarlet Cannonball
i(241649),	-- Gauntlets of the Hillsbrad Guard
i(241652),	-- Discolored Beast Heart
i(241653),	-- Heated Blade
i(241654),	-- Inert Ashbringer
i(241655),	-- Mishandled Healing Potion
i(241656),	-- Mishandled Healing Potion
i(241657),	-- Tempered Blade
i(242018),	-- Plaguelands Bleeding Heart
i(242224),	-- Basket of Hearts
i(242256),	-- Satchel of Incendiary Bombs
i(242257),	-- Mysterious Alchemical Sample
i(242258),	-- Research Notes
i(242266),	-- World of Wardcraft
i(242267),	-- From Arcanist to Archmage
i(242268),	-- If You Give a Crusader an Enchant
i(242269),	-- Brilliance of the Grand Sorcerer
i(242270),	-- Brilliance of the Grand Arcanist
i(242271),	-- Brilliance of the Grand Crusader
i(242310),	-- Hand of Reborn Justice
i(242311),	-- Leonid's Charm
i(242312),	-- Barthalomew Family Seal \\ Bartholomew Family Seal
i(242313),	-- Journal of the Revered
i(242314),	-- Cinders of the Fallen Crusade
i(242315),	-- Ashes of Arrogance
i(242316),	-- Dust of the Defiant
i(242317),	-- Desecrated Prayerbook
i(242319),	-- New Plague Samples
i(242320),	-- New Plague Samples
i(242361),	-- Formula: Enchant 2H Weapon - Grand Inquisitor
i(242362),	-- Brilliance of the Grand Inquisitor
i(242363),	-- Who, What, Where, When, and Die! Five Keys to a Good Inquisition
i(242364),	-- Mature Light Dragon Sinew
i(242365),	-- Wing of Balnazzar
i(242366),	-- Inescapable Fate
i(242367),	-- Wing and String
i(242425),	-- Torn Diary Page - Page 1
i(242426),	-- Torn Diary Page - Page 2
i(242427),	-- Putress' Diary
i(242428),	-- Torn Diary Page - Page 3
i(242429),	-- Putress' Diary
i(242430),	-- Torn Diary Page - Page 4
i(242431),	-- Torn Diary Page - Page 5
i(242432),	-- Putress' Diary
i(242433),	-- Torn Diary Page - Page 6
i(242434),	-- Putress' Diary
i(242435),	-- Putress' Diary
i(242436),	-- Putress' Diary
1.15.7.59856
i(231806),	-- Searing Arrow
i(231807),	-- Searing Shot
i(242710),	-- Monster Weapon [DNT]
1.15.7.60000
i(242793),	-- Portable Cannon
i(243010),	-- Corrupted Ashbringer
i(243064),	-- Long Staff
i(243177),	-- Ingenious Toy
i(243229),	-- Hearthstone of the Dawn
i(243230),	-- Ruined Lightforged Blade
1.15.7.60249
i(208196),	-- Moa'kin Band
i(208425),	-- Shiny Archaic Vestige
i(208484),	-- Sunlight
i(230002),	-- Mortal Finisher
i(242465),	-- Jostled Chalice Fragment
i(243065),	-- Broken Wand
i(243198),	-- Poultry Precision Scope
i(243345),	-- Long Staff
i(244460),	-- Caladbolg
1.15.7.60663
i(244353),	-- Poultry Precision Scope
i(245675),	-- Gordok Inner Door Key
